NIK,Kepala_Keluarga,Alamat_Email,Usia,Tingkat_Pendidikan,Pekerjaan,Jumlah_Tanggungan,Lokasi,Pengalaman_Kerja,Status_Pernikahan,Status_Pekerjaan,Jumlah_Anggota_Rumah_Tangga,Status_Kepemilikan_Rumah,Jenis_Perkonomian,Jenis_Kelamin,Transportasi_Utama,Pendapatan
8842421783182044,Made Aditya Utomo,made.aditya80_@icloud.com,41.0,Magister,Teknologi,4.0,Rural,10.0,Menikah,Part-time,1.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Transportasi Umum,384573.0
2056851281251721,Joni Lita Utomo,joni.lita@gmail.com,70.0,Sarjana,Teknologi,2.0,Suburban,49.0,Menikah,Part-time,7.0,Sewa,Rumah Tinggal,Perempuan,Mobil,5857775.0
8324631127618542,Ika Vicky Anwar,ika.vicky@hotmail.com,28.0,Magister,Pendidikan,2.0,Urban,3.0,Lajang,Part-time,7.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Transportasi Umum,472865.0
3578804384089946,Eko Widi Kurniawan,eko.widi49@icloud.com,30.0,SMA,Keuangan,1.0,Urban,45.0,Lajang,Full-time,7.0,Milik Sendiri,Rumah Susun,Perempuan,Transportasi Umum,6466675.0
9617875290674098,Ika Krisna Jatmiko,ika.krisna@icloud.com,21.0,SMA,Teknologi,0.0,Suburban,40.0,Menikah,Part-time,4.0,Milik Sendiri,Apartemen,Laki-Laki,Jalan Kaki,66522.0
4088185835432451,Qiana Ria Zulkarnaen,qiana.ria61.@gmail.com,49.0,SMA,Kesehatan,5.0,Suburban,30.0,Menikah,Part-time,4.0,Sewa,Rumah Tinggal,Laki-Laki,Mobil,72946.0
2934492322996491,Wulan Langgeng Pangestu,wulan.langgeng11@outlook.com,30.0,Sarjana,Lainnya,5.0,Urban,5.0,Lajang,Self-employed,6.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Bersepeda,2364266.0
4760403615360727,Made Citra Lesmana,made.citra34@gmail.com,65.0,Magister,Kesehatan,4.0,,17.0,Bercerai,Full-time,2.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Jalan Kaki,2277733.0
5918363921081719,Hana Taufik Gandi,hana.taufik50.@yahoo.com,32.0,,Kesehatan,5.0,Urban,37.0,Lajang,Part-time,4.0,Milik Sendiri,Apartemen,Laki-Laki,Mobil,70872.0
7741953075482430,Hana Taufik Purnama,hana.taufik@gmail.com,40.0,Sarjana,Kesehatan,4.0,Urban,9.0,Menikah,Full-time,6.0,Sewa,Rumah Tinggal,Laki-Laki,Transportasi Umum,70724.0
9910963786833915,Yudha Irfan Gunawan,yudha.irfan@gmail.com,36.0,Sarjana,Kesehatan,5.0,Rural,12.0,Bercerai,Full-time,5.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,,165006.0
6606767950832225,Andi Vicky Basuki,andi.vicky@gmail.com,32.0,Sarjana,Kesehatan,3.0,Urban,41.0,Menikah,Full-time,,Sewa,Apartemen,Laki-Laki,Bersepeda,303615.0
2476450912685278,Putri Sulis Nugroho,putri.sulis79@hotmail.com,50.0,,Kesehatan,1.0,Urban,42.0,Lajang,Part-time,2.0,Sewa,Rumah Tinggal,Perempuan,Transportasi Umum,525029.0
8297736087443622,Yani Oktaviani Firmansyah,yani.oktaviani-@yahoo.com,43.0,Magister,Kesehatan,5.0,Rural,14.0,Menikah,Full-time,4.0,Milik Sendiri,Apartemen,Laki-Laki,Mobil,170369.0
8754292003084669,Cinta Manaf Firmansyah,cinta.manaf66@icloud.com,70.0,Sarjana,Pendidikan,1.0,Urban,43.0,Menikah,Self-employed,6.0,Milik Sendiri,Apartemen,Laki-Laki,,65068.0
8723098116570402,Lestari Ulan Qodrat,lestari.ulan88@hotmail.com,18.0,Magister,Teknologi,5.0,Urban,5.0,Lajang,Self-employed,3.0,Sewa,Apartemen,Perempuan,Transportasi Umum,59136.0
5113125831621350,Wahyu Gusti Zara,wahyu.gusti90@yahoo.com,24.0,Sarjana,Lainnya,1.0,Urban,11.0,Bercerai,Full-time,,Milik Sendiri,Apartemen,Laki-Laki,Mobil,
6420366948685032,Siska Joko Yuliani,siska.joko43@yahoo.com,33.0,Magister,Kesehatan,1.0,Urban,10.0,Lajang,Full-time,,Sewa,Apartemen,Laki-Laki,Mobil,123649.0
1195936199782740,Miko Aditya Firmansyah,miko.aditya@gmail.com,55.0,,Kesehatan,4.0,Urban,23.0,Menikah,Self-employed,2.0,Sewa,Apartemen,Perempuan,Transportasi Umum,266162.0
4700669063609716,Cinta Naura Ibrahim,cinta.naura-@icloud.com,49.0,Sarjana,Keuangan,0.0,Urban,36.0,Menikah,Self-employed,7.0,Milik Sendiri,Rumah Tinggal,Perempuan,Mobil,66694.0
7541949424828309,Tara Citra Eka Putra,tara.citra@gmail.com,34.0,Magister,Pendidikan,0.0,Suburban,10.0,Lajang,Part-time,3.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,410202.0
6667010167895139,Garin Bagas Safitri,garin.bagas46@hotmail.com,26.0,SMA,Kesehatan,2.0,,28.0,Menikah,Part-time,4.0,Sewa,Rumah Tinggal,Perempuan,Bersepeda,31285.0
2748439085609084,Ovi Langgeng Anwar,ovi.langgeng43@hotmail.com,34.0,Sarjana,Teknologi,3.0,Urban,40.0,Lajang,Full-time,2.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,67712.0
7587754829558515,Tegar Manaf Zulkarnaen,tegar.manaf39-@icloud.com,66.0,Magister,Kesehatan,3.0,Urban,2.0,Lajang,Part-time,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,Transportasi Umum,646273.0
4336126844814224,Ika Irfan Hidayat,ika.irfan@icloud.com,67.0,SMA,Pendidikan,4.0,,14.0,Menikah,Full-time,6.0,Sewa,Apartemen,Perempuan,Mobil,2169711.0
6222423605360697,Ela Abdurrahman Zara,ela.abdurrahman-@yahoo.com,68.0,Sarjana,Pendidikan,1.0,Urban,47.0,Menikah,Part-time,1.0,Milik Sendiri,Rumah Susun,Laki-Laki,Transportasi Umum,65644.0
1927326013280113,Eko Sulis Ibrahim,eko.sulis23.@hotmail.com,44.0,,Teknologi,3.0,Suburban,45.0,Menikah,Full-time,,Sewa,Rumah Tinggal,Laki-Laki,Transportasi Umum,9535849.168253615
1907004138156899,Lia Utami Abdurrahman,lia.utami86_@gmail.com,28.0,SMA,Kesehatan,1.0,Urban,31.0,,Full-time,1.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,65920.0
9276416522486576,Tegar Bela Yuliani,tegar.bela-@gmail.com,41.0,Sarjana,Teknologi,2.0,Urban,,Menikah,Self-employed,1.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,804205.0
1869608163292165,Yudha Lita Anwar,yudha.lita97@yahoo.com,38.0,Sarjana,Keuangan,4.0,Urban,39.0,Bercerai,Part-time,2.0,Sewa,Rumah Susun,Laki-Laki,Transportasi Umum,65982.0
1220834969607578,Joni Jihan Mawardi,joni.jihan53@hotmail.com,50.0,Magister,Lainnya,2.0,Suburban,14.0,Lajang,Full-time,2.0,Milik Sendiri,Rumah Tinggal,Perempuan,Mobil,65058.0
1870614344254657,Dewi Vicky Purnama,dewi.vicky64@gmail.com,60.0,Magister,Keuangan,0.0,,10.0,Menikah,Full-time,,Milik Sendiri,Rumah Tinggal,Perempuan,Mobil,38945.0
4831767689623167,Budi Aditya Tjahjono,budi.aditya-@outlook.com,,Sarjana,Lainnya,4.0,Rural,47.0,Menikah,Full-time,7.0,Milik Sendiri,Apartemen,Laki-Laki,Mobil,351674.0
5285372242362691,Agus Zita Indrianto,agus.zita@hotmail.com,64.0,Sarjana,,4.0,Rural,,Lajang,Part-time,5.0,Milik Sendiri,Apartemen,Perempuan,Transportasi Umum,34649.0
9285639258947190,Ovi Rafi Ibrahim,ovi.rafi22@gmail.com,20.0,SMA,Lainnya,2.0,Rural,3.0,Menikah,Full-time,2.0,Milik Sendiri,Rumah Susun,Perempuan,Jalan Kaki,64926.0
8490901186109646,Yani Fitria Nafian,yani.fitria74@outlook.com,46.0,Sarjana,Lainnya,0.0,Urban,1.0,Menikah,Full-time,7.0,Milik Sendiri,Rumah Tinggal,Perempuan,,427162.0
4361552632068895,Putri Kencana Abdurrahman,putri.kencana-@outlook.com,39.0,Sarjana,Kesehatan,5.0,Urban,49.0,Lajang,Self-employed,6.0,Milik Sendiri,Apartemen,Perempuan,Transportasi Umum,65774.0
5495967559649225,Xandra Joko Nafian,xandra.joko@hotmail.com,,Sarjana,Keuangan,4.0,Urban,49.0,Menikah,Part-time,2.0,Sewa,Apartemen,Perempuan,Transportasi Umum,844956.0
8130015487073347,Zani Mahmud Nugroho,zani.mahmud@hotmail.com,,Sarjana,Teknologi,2.0,,3.0,Menikah,Part-time,1.0,Sewa,Apartemen,Perempuan,Transportasi Umum,
2334398743137887,Ela Lita Eka Rachma,ela.lita21@gmail.com,,,Keuangan,4.0,Rural,32.0,Lajang,Part-time,3.0,Milik Sendiri,Apartemen,Perempuan,,1722392.0
1299089154675463,Dila Tirta Wijaya,dila.tirta@outlook.com,43.0,SMA,Kesehatan,5.0,Urban,38.0,Lajang,Full-time,7.0,Sewa,Rumah Susun,Laki-Laki,Mobil,2617338.0
5617536677750964,Lestari Gendis Abdurrahman,lestari.gendis48@gmail.com,54.0,Sarjana,Kesehatan,5.0,Rural,28.0,Menikah,Self-employed,4.0,Milik Sendiri,Rumah Susun,Laki-Laki,Mobil,66964.0
6172287835406563,Nanda Bela Hidayat,nanda.bela@yahoo.com,45.0,Sarjana,,4.0,Suburban,50.0,Bercerai,Full-time,5.0,Milik Sendiri,Rumah Susun,Laki-Laki,Jalan Kaki,65648.0
4713851003517213,Ratna Satrio Lesmana,ratna.satrio14@outlook.com,62.0,Sarjana,Keuangan,3.0,Urban,43.0,Menikah,Self-employed,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,Jalan Kaki,4098854.0
4593727204484760,Jaka Ery Lesmana,jaka.ery.@yahoo.com,24.0,SMA,Pendidikan,2.0,Rural,28.0,Lajang,Full-time,7.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Transportasi Umum,602241.0
6080588908280356,Cinta Satrio Bagus,cinta.satrio@outlook.com,28.0,Magister,Kesehatan,5.0,Urban,26.0,Menikah,Full-time,4.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,70074.0
8692386683738916,Ratna Tirta Ibrahim,ratna.tirta@outlook.com,60.0,Sarjana,Keuangan,4.0,Urban,44.0,Lajang,Full-time,6.0,,Rumah Tinggal,Laki-Laki,Mobil,84522.0
2945138294677266,Siska Vicky Santoso,siska.vicky50.@outlook.com,56.0,Sarjana,Lainnya,0.0,Urban,37.0,Menikah,Full-time,,Sewa,Apartemen,Laki-Laki,,279868.0
7097116170225407,Indra Jihan Santoso,indra.jihan@icloud.com,55.0,Magister,Kesehatan,3.0,Urban,38.0,Menikah,Part-time,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,66966.0
1567658539843456,Zani Balqis Alfi,zani.balqis@gmail.com,52.0,SMA,Kesehatan,3.0,,32.0,Menikah,Full-time,4.0,Milik Sendiri,Apartemen,Perempuan,,65236.0
8550811256705564,Aira Hadi Yusman,aira.hadi@hotmail.com,50.0,,Kesehatan,2.0,Suburban,,Lajang,Self-employed,6.0,Sewa,Apartemen,Laki-Laki,Bersepeda,2449031.0
8565383826980917,Jali Abdurrahman Wijaya,jali.abdurrahman@outlook.com,37.0,SMA,Kesehatan,2.0,Urban,16.0,Lajang,Part-time,2.0,Milik Sendiri,Rumah Tinggal,Perempuan,Jalan Kaki,72436.0
3141210773222433,Dewi Zita Qodrat,dewi.zita96@hotmail.com,49.0,Sarjana,Kesehatan,2.0,Urban,8.0,Lajang,Full-time,3.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,
3765823917084471,Ratna Balqis Kurniawan,ratna.balqis37@hotmail.com,46.0,Sarjana,Pendidikan,0.0,Urban,18.0,Menikah,Full-time,5.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,68428.0
9245270607940947,Lestari Raharja Nafian,lestari.raharja@icloud.com,57.0,Magister,Lainnya,4.0,Suburban,48.0,Menikah,Full-time,4.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,74400.0
8601939247966588,Budi Joko Cahyana,budi.joko@hotmail.com,41.0,Sarjana,Kesehatan,1.0,Urban,30.0,Menikah,Full-time,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,Mobil,68996.0
1872611344144425,Jaka Candra Setiawan,jaka.candra91@hotmail.com,65.0,SMA,Kesehatan,3.0,Urban,32.0,Menikah,Full-time,5.0,,Apartemen,Laki-Laki,Bersepeda,73758.0
5060885520088161,Imam Citra Basuki,imam.citra.@gmail.com,32.0,SMA,Kesehatan,2.0,Urban,19.0,Lajang,Part-time,5.0,Milik Sendiri,Rumah Tinggal,Perempuan,Transportasi Umum,71434.0
5840926954543397,Wulan Manaf Gunawan,wulan.manaf52_@icloud.com,55.0,Magister,Teknologi,2.0,Urban,21.0,Menikah,Full-time,7.0,Sewa,Rumah Susun,Perempuan,Mobil,83452.21165606269
2037070706737912,Qiana Dwi Cahyana,qiana.dwi@outlook.com,21.0,Sarjana,Lainnya,0.0,Urban,40.0,Menikah,Full-time,,Sewa,Rumah Tinggal,Laki-Laki,Bersepeda,3172180.0
5472791852066048,Qiana Langgeng Gunawan,qiana.langgeng@icloud.com,21.0,Magister,Pendidikan,2.0,Rural,11.0,Lajang,Self-employed,6.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Transportasi Umum,4426165.0
8359534579756165,Hana Jihan Firmansyah,hana.jihan_@yahoo.com,36.0,Doktor,Kesehatan,5.0,Urban,24.0,Menikah,Part-time,4.0,Sewa,Rumah Tinggal,Laki-Laki,Jalan Kaki,74938.0
6060587541150398,Jaka Vicky Setiawan,jaka.vicky60@yahoo.com,68.0,Magister,Kesehatan,0.0,Urban,10.0,Lajang,Part-time,2.0,Milik Sendiri,Apartemen,Perempuan,Transportasi Umum,
4208600305069527,Imam Feri Nafian,imam.feri@icloud.com,50.0,Doktor,Lainnya,2.0,Urban,3.0,Lajang,Full-time,1.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,74302.0
9080995150169716,Garin Balqis Hidayat,garin.balqis30@outlook.com,26.0,SMA,Kesehatan,4.0,,30.0,Lajang,Full-time,2.0,Sewa,Rumah Susun,Laki-Laki,Mobil,1618129.0
8473205386729100,Andi Pandu Zulkarnaen,andi.pandu@gmail.com,51.0,Magister,Pendidikan,4.0,Suburban,2.0,Menikah,Full-time,6.0,Sewa,Rumah Tinggal,Perempuan,Bersepeda,3667913.0
1386109662048439,Xandra Taufik Mulyadi,xandra.taufik-@gmail.com,41.0,Magister,Teknologi,5.0,Urban,20.0,Menikah,Self-employed,7.0,Milik Sendiri,Apartemen,Laki-Laki,Bersepeda,71278.0
2569035700992878,Bima Vicky Kurniawan,bima.vicky13_@gmail.com,69.0,Sarjana,Keuangan,3.0,Suburban,0.0,Lajang,Full-time,7.0,Sewa,Rumah Susun,Perempuan,Transportasi Umum,71922.0
2503651325625862,Faiz Dwi Lesmana,faiz.dwi44-@gmail.com,24.0,Sarjana,Kesehatan,0.0,,10.0,Menikah,Part-time,7.0,Milik Sendiri,Rumah Susun,Perempuan,Transportasi Umum,70564.0
7872104294943966,Yani Ajeng Tunggul,yani.ajeng15.@yahoo.com,32.0,SMA,Pendidikan,1.0,Suburban,20.0,Bercerai,Full-time,6.0,Milik Sendiri,Rumah Susun,Laki-Laki,Mobil,69422.0
2477386184237346,Kartika Widi Mulyadi,kartika.widi51@hotmail.com,23.0,Sarjana,Kesehatan,2.0,Urban,4.0,Menikah,Full-time,4.0,Milik Sendiri,Apartemen,Perempuan,Mobil,889380.1526397829
5451064934188332,Oka Xena Zara,oka.xena95@hotmail.com,67.0,Magister,Teknologi,3.0,Urban,19.0,Lajang,Part-time,5.0,Milik Sendiri,Rumah Susun,Laki-Laki,Transportasi Umum,72116.0
4802745351542263,Indra Fitria Indrianto,indra.fitria28@outlook.com,63.0,SMA,,2.0,Urban,32.0,Menikah,Full-time,7.0,Milik Sendiri,Rumah Tinggal,Perempuan,Transportasi Umum,69946.0
4363414687134554,Miko Joko Firmansyah,miko.joko87@icloud.com,30.0,SMA,Lainnya,5.0,Urban,1.0,Bercerai,Full-time,,Sewa,Apartemen,Perempuan,,65008.0
5256388770095083,Rima Langgeng Abdurrahman,rima.langgeng-@gmail.com,28.0,Sarjana,Lainnya,0.0,Suburban,29.0,Lajang,Full-time,5.0,Milik Sendiri,Apartemen,Perempuan,Transportasi Umum,68726.0
6010209990776907,Dewi Jihan Qodrat,dewi.jihan@outlook.com,56.0,Sarjana,Kesehatan,4.0,Suburban,4.0,Menikah,Part-time,4.0,Milik Sendiri,Rumah Tinggal,Perempuan,Bersepeda,41666.79538901551
1789488626958519,Bima Ria Utomo,bima.ria@hotmail.com,57.0,Magister,Lainnya,5.0,Suburban,1.0,Menikah,Full-time,4.0,Sewa,Rumah Susun,Laki-Laki,Mobil,6596941.0
9682246427125511,Dila Zainal Kurniawan,dila.zainal_@outlook.com,44.0,Sarjana,Kesehatan,1.0,Suburban,8.0,Lajang,Part-time,1.0,Milik Sendiri,Rumah Susun,Laki-Laki,,73778.0
3912300413895778,Cinta Ria Dimas,cinta.ria94@gmail.com,64.0,SMA,Teknologi,4.0,,8.0,Lajang,Full-time,7.0,Milik Sendiri,Rumah Susun,Laki-Laki,Bersepeda,70714.0
2818070138485971,Yudha Kencana Kusuma,yudha.kencana79@gmail.com,57.0,SMA,Kesehatan,5.0,Urban,28.0,Menikah,Part-time,7.0,Milik Sendiri,Rumah Susun,Perempuan,Transportasi Umum,66048.0
6555053834886238,Aira Oktaviani Gunawan,aira.oktaviani24@outlook.com,34.0,SMA,Lainnya,1.0,Urban,37.0,Menikah,Full-time,3.0,Sewa,Rumah Tinggal,Laki-Laki,Mobil,620764.0
2290105766451858,Bima Jihan Qodrat,bima.jihan32@yahoo.com,55.0,SMA,Teknologi,2.0,Suburban,39.0,Lajang,Self-employed,4.0,Milik Sendiri,Apartemen,Perempuan,Mobil,
6116341434288065,Kiki Taufik Purnama,kiki.taufik@yahoo.com,52.0,Sarjana,Teknologi,5.0,Urban,26.0,Menikah,Part-time,4.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,70720.0
6807356284677294,Joni Eka Zara,joni.eka.@yahoo.com,24.0,Sarjana,Kesehatan,3.0,Urban,4.0,Lajang,Full-time,3.0,Milik Sendiri,Apartemen,Laki-Laki,,600169.0
8726911795908277,Dila Vicky Cahyana,dila.vicky36@gmail.com,24.0,SMA,Kesehatan,1.0,Urban,23.0,Menikah,Part-time,6.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,71274.0
5326471303483521,Putri Indah Eka Putra,putri.indah39@gmail.com,68.0,Sarjana,Keuangan,2.0,Urban,43.0,Lajang,Full-time,6.0,Milik Sendiri,Rumah Susun,Perempuan,Jalan Kaki,70176.0
3229003740270245,Indra Vicky Dimas,indra.vicky-@gmail.com,27.0,Sarjana,Teknologi,3.0,Suburban,14.0,Menikah,Full-time,3.0,Sewa,Rumah Tinggal,Laki-Laki,Jalan Kaki,755390.0
3538967076437308,Indra Dwi Hidayat,indra.dwi58@gmail.com,34.0,Magister,Teknologi,3.0,Suburban,13.0,Menikah,Self-employed,4.0,Milik Sendiri,Rumah Tinggal,Laki-Laki,Mobil,69412.0
7835906199019147,Uli Xena Baginda,uli.xena75_@yahoo.com,48.0,Sarjana,Teknologi,4.0,Suburban,13.0,Menikah,Full-time,1.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,5406118.0
7389497388591368,Eko Bagas Qodrat,eko.bagas45@outlook.com,42.0,SMA,Pendidikan,3.0,Suburban,24.0,Menikah,Part-time,5.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,115244.0
7355689501043205,Tara Widi Hidayat,tara.widi.@icloud.com,40.0,Doktor,Teknologi,1.0,Urban,21.0,Menikah,Part-time,4.0,Sewa,Apartemen,Perempuan,Transportasi Umum,67016.0
1777566337481912,Garin Utami Setiawan,garin.utami@gmail.com,53.0,Sarjana,Keuangan,2.0,Urban,7.0,Lajang,Full-time,4.0,Milik Sendiri,Apartemen,Perempuan,Jalan Kaki,79600.08728716442
2748879929380310,Lestari Taufik Safitri,lestari.taufik@outlook.com,32.0,Magister,Kesehatan,0.0,Urban,10.0,Menikah,Full-time,6.0,Sewa,Rumah Tinggal,Perempuan,Bersepeda,1350326.0
2788370867990188,Indra Ery Tjahjono,indra.ery89@outlook.com,62.0,SMA,Lainnya,5.0,,19.0,Lajang,Part-time,7.0,Milik Sendiri,Rumah Tinggal,Perempuan,Transportasi Umum,542443.0
3522930412001661,Nanda Sulis Eka Rachma,nanda.sulis55-@hotmail.com,,Sarjana,Kesehatan,0.0,Rural,39.0,Menikah,Part-time,4.0,Milik Sendiri,Rumah Tinggal,Perempuan,Mobil,67232.0
6611221721904856,Wahyu Zainal Mawardi,wahyu.zainal@yahoo.com,23.0,SMA,Teknologi,1.0,Urban,5.0,Menikah,Self-employed,1.0,Sewa,Rumah Tinggal,Perempuan,Transportasi Umum,973727.0
1522082392877444,Ika Irfan Ibrahim,ika.irfan99@yahoo.com,41.0,Sarjana,Teknologi,3.0,Urban,26.0,Lajang,Self-employed,2.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,75062.0
1997144628344010,Uli Naura Bagus,uli.naura94@outlook.com,47.0,Magister,Kesehatan,0.0,Urban,43.0,Lajang,Self-employed,5.0,Sewa,Rumah Tinggal,Laki-Laki,Bersepeda,65048.84913845928
7020806282952871,Ela Xena Tjahjono,ela.xena80@yahoo.com,70.0,SMA,Lainnya,2.0,Urban,52.0,Menikah,Part-time,7.0,Sewa,Rumah Tinggal,Perempuan,Transportasi Umum,33321.0
5142884089081134,Fadli Ulan Zara,fadli.ulan58@gmail.com,18.0,SMA,Pendidikan,2.0,Rural,28.0,Lajang,Self-employed,3.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,528755.0
5258175687068463,Cahya Abdurrahman Hidayat,cahya.abdurrahman63.@gmail.com,,Sarjana,Lainnya,3.0,Urban,44.0,Lajang,Full-time,7.0,Milik Sendiri,Apartemen,Laki-Laki,Transportasi Umum,66588.0
8796210156891464,Cahya Rafi Hidayat,cahya.rafi@hotmail.com,,Magister,Kesehatan,4.0,Urban,10.0,Bercerai,Part-time,3.0,Milik Sendiri,Apartemen,Perempuan,Mobil,1472444.0
8080932669797789,Lia Hendra Zara,lia.hendra-@gmail.com,42.0,SMA,Kesehatan,5.0,,34.0,Menikah,Self-employed,7.0,Milik Sendiri,Apartemen,Laki-Laki,Bersepeda,72274.0
2433771407495890,Fadli Krisna Santoso,fadli.krisna@icloud.com,37.0,SMA,Keuangan,4.0,Urban,20.0,Lajang,Full-time,6.0,Milik Sendiri,Rumah Tinggal,Perempuan,Transportasi Umum,67992.0
